Grade,How It May Appear
7,SGC 84|SGC 7|SGC NRMT|SGC NR/MT|SGC Near Mint|SGC NM|BGS 84|BGS 7|BGS NRMT|BGS NR/MT|BGS Near Mint|BGS NM|BVG 84|BVG 7|BVG NRMT|BVG NR/MT|BVG Near Mint|BVG NM|BCCG 84|BCCG 7|BCCG NRMT|BCCG NR/MT|BCCG Near Mint|BCCG NM|SCD 84|SCD 7|SCD NRMT|SCD NR/MT|SCD Near Mint|SCD NM|GAI 84|GAI 7|GAI NRMT|GAI NR/MT|GAI Near Mint|GAI NM|SGV 84|SGV 7|SGV NRMT|SGV NR/MT|SGV Near Mint|SGV NM
7.5,SGC 86|SGC 7.5|SGC NM+|SGC NrMt+|SGC Near Mint+|SGC NRMT+|BGS 86|BGS 7.5|BGS NM+|BGS NrMt+|BGS Near Mint+|BGS NRMT+|BVG 86|BVG 7.5|BVG NM+|BVG NrMt+|BVG Near Mint+|BVG NRMT+|BCCG 86|BCCG 7.5|BCCG NM+|BCCG NrMt+|BCCG Near Mint+|BCCG NRMT+|SCD 86|SCD 7.5|SCD NM+|SCD NrMt+|SCD Near Mint+|SCD NRMT+|GAI 86|GAI 7.5|GAI NM+|GAI NrMt+|GAI Near Mint+|GAI NRMT+|SGV 86|SGV 7.5|SGV NM+|SGV NrMt+|SGV Near Mint+|SGV NRMT+
8,SGC 88|SGC 8|SGC NM/MT|SGC NMMT|SGC Near Mint/Mint|BGS 88|BGS 8|BGS NM/MT|BGS NMMT|BGS Near Mint/Mint|BVG 88|BVG 8|BVG NM/MT|BVG NMMT|BVG Near Mint/Mint|BCCG 88|BCCG 8|BCCG NM/MT|BCCG NMMT|BCCG Near Mint/Mint|SCD 88|SCD 8|SCD NM/MT|SCD NMMT|SCD Near Mint/Mint|GAI 88|GAI 8|GAI NM/MT|GAI NMMT|GAI Near Mint/Mint|SGV 88|SGV 8|SGV NM/MT|SGV NMMT|SGV Near Mint/Mint
8.5,SGC 92|SGC 8.5|SGC NM/MT+|SGC NMMT+|SGC Near Mint-Mint+|BGS 92|BGS 8.5|BGS NM/MT+|BGS NMMT+|BGS Near Mint-Mint+|BVG 92|BVG 8.5|BVG NM/MT+|BVG NMMT+|BVG Near Mint-Mint+|BCCG 92|BCCG 8.5|BCCG NM/MT+|BCCG NMMT+|BCCG Near Mint-Mint+|SCD 92|SCD 8.5|SCD NM/MT+|SCD NMMT+|SCD Near Mint-Mint+|GAI 92|GAI 8.5|GAI NM/MT+|GAI NMMT+|GAI Near Mint-Mint+|SGV 92|SGV 8.5|SGV NM/MT+|SGV NMMT+|SGV Near Mint-Mint+
9,SGC 96|SGC 9|SGC MT|SGC Mint|SGC Mnt|BGS 96|BGS 9|BGS MT|BGS Mint|BGS Mnt|BVG 96|BVG 9|BVG MT|BVG Mint|BVG Mnt|BCCG 96|BCCG 9|BCCG MT|BCCG Mint|BCCG Mnt|SCD 96|SCD 9|SCD MT|SCD Mint|SCD Mnt|GAI 96|GAI 9|GAI MT|GAI Mint|GAI Mnt|SGV 96|SGV 9|SGV MT|SGV Mint|SGV Mnt
9.5,SGC 9.5|BGS 9.5|BVG 9.5|BCCG 9.5|SCD 9.5|GAI 9.5|SGV 9.5
10,SGC 98|SGC 10|SGC Gem|BGS 98|BGS 10|BGS Gem|BGS 1|BGS PR|BGS Poor|BVG 98|BVG 10|BVG Gem|BCCG 98|BCCG 10|BCCG Gem|SCD 98|SCD 10|SCD Gem|GAI 98|GAI 10|GAI Gem|SGV 98|SGV 10|SGV Gem
100,SGC 100|SGC PristineSGC 100|SGC Pristine|BGS 100|BGS PristineBGS 100|BGS Pristine|BVG 100|BVG Pristine|BCCG 100|BCCG Pristine|SCD 100|SCD Pristine|GAI 100|GAI Pristine|SGV 100|SGV Pristine
PR (1): Poor,Poor
FR (1.5): Fair,Fair
GD (2): Good,Good
GD+ (2.5): Good+,Good+|GD+
VG (3): Very Good,Very Good
VG+ (3.5): Very Good+,Very Good+|VG+
VG/EX (4): Very Good/Excellent,VGEX|VG/EX|Very Good/Excellent
VG/EX+ (4.5): Very Good/Excellent+,VGEX+|VG/EX+
EX (5): Excellent,Excellent
EX+ (5.5): Excellent+,Excellent+|EX+
EX/MT (6): Excellent/Mint,EX/NM|EXMT|EX/MT| Excellent Mint
EX/MT+ (6.5): Excellent/Mint+,EX/NM+|EXMT+|EX/MT+|Excellent Mint+
NM (7): Near Mint,NRMT|NR/MT|Near Mint
NM+ (7.5): Near Mint+,NM+|NrMt+|Near Mint+|NM+
NM/MT (8): Near Mint/Mint,NM/MT|NMMT|Near Mint/Mint|Near Mint|Mint|NM-MT
NM/MT+ (8.5): Near Mint/Mint+,NM/MT+|NMMT+|Near Mint-Mint+|MINT+|NM-MT+
MINT (9): Mint,MT|Mint|Mnt
MINT (9.5): Mint+,MINT+
GEM MINT (10): Gem Mint,Gem|GM Mint|Gem Mint|Mint Gem
